motor_raw,angle_x
255,5.8002
240,0.1635
225,-11.4232
210,-22.7452
195,-33.3488
180,-43.8354
165,-55.0042
150,-66.1281
135,-77.4009
120,-88.8045
105,-99.1371
90,-108.685
75,-118.6504
60,-128.8145
45,-138.6292
30,-149.1547
15,-158.6599
0,-167.1978
