raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,pinky,L6,left,1783583201.992,1783583209.45
240,94.1176,94.1176,roll,pinky,L6,left,1783583201.992,1783583212.466
225,88.2353,88.2353,roll,pinky,L6,left,1783583201.992,1783583215.481
210,82.3529,82.3529,roll,pinky,L6,left,1783583201.992,1783583218.496
195,76.4706,76.4706,roll,pinky,L6,left,1783583201.992,1783583221.51
180,70.5882,70.5882,roll,pinky,L6,left,1783583201.992,1783583224.526
165,64.7059,64.7059,roll,pinky,L6,left,1783583201.992,1783583227.541
150,58.8235,58.8235,roll,pinky,L6,left,1783583201.992,1783583230.556
135,52.9412,52.9412,roll,pinky,L6,left,1783583201.992,1783583233.575
120,47.0588,47.0588,roll,pinky,L6,left,1783583201.992,1783583236.582
105,41.1765,41.1765,roll,pinky,L6,left,1783583201.992,1783583239.598
90,35.2941,35.2941,roll,pinky,L6,left,1783583201.992,1783583242.622
75,29.4118,29.4118,roll,pinky,L6,left,1783583201.992,1783583245.637
60,23.5294,23.5294,roll,pinky,L6,left,1783583201.992,1783583248.652
45,17.6471,17.6471,roll,pinky,L6,left,1783583201.992,1783583251.668
30,11.7647,11.7647,roll,pinky,L6,left,1783583201.992,1783583254.683
15,5.8824,5.8824,roll,pinky,L6,left,1783583201.992,1783583257.697
0,0.0,0.0,roll,pinky,L6,left,1783583201.992,1783583260.715
