motor_raw,angle_x
255,8.1892
240,-1.82
225,-12.5669
210,-22.7359
195,-33.3573
180,-44.8547
165,-56.5819
150,-68.5619
135,-79.3065
120,-89.2707
105,-99.3053
90,-109.6772
75,-120.3102
60,-131.2143
45,-141.6294
30,-150.8656
15,-159.9703
0,-168.3831
