motor_raw,angle_x
255,25.4839
240,21.3856
225,17.3061
210,13.1897
195,9.2444
180,5.5251
165,1.6177
150,-2.1051
135,-5.963
120,-9.7267
105,-13.5936
90,-17.7802
75,-21.7041
60,-25.3442
45,-29.1691
30,-32.8028
15,-36.7841
0,-40.2324
