motor_raw,angle_x
255,36.804
240,33.0913
225,27.8698
210,23.2429
195,18.9467
180,13.8541
165,8.2428
150,2.4517
135,-3.3765
120,-8.6261
105,-13.8928
90,-19.2555
75,-24.8863
60,-30.7309
45,-36.7769
30,-42.3112
15,-47.4616
0,-52.2213
,
,
