motor_raw,angle_x
255,33.8194
240,29.8946
225,25.6017
210,21.1591
195,17.1567
180,13.1613
165,9.0928
150,5.3682
135,1.5379
120,-2.272
105,-6.3018
90,-10.8239
75,-14.8286
60,-18.4772
45,-22.3328
30,-25.9085
15,-29.7545
0,-33.1787
