motor_raw,angle_x
255,3.6355
240,-5.1854
225,-15.2458
210,-25.1888
195,-35.3766
180,-46.2028
165,-58.1543
150,-69.8135
135,-80.6603
120,-90.8934
105,-100.6894
90,-110.4355
75,-121.0415
60,-132.0222
45,-142.1427
30,-151.4734
15,-160.318
0,-168.8507
