raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,middle,L6,left,1783581907.13,1783581914.512
240,94.1176,94.1176,roll,middle,L6,left,1783581907.13,1783581917.528
225,88.2353,88.2353,roll,middle,L6,left,1783581907.13,1783581920.543
210,82.3529,82.3529,roll,middle,L6,left,1783581907.13,1783581923.551
195,76.4706,76.4706,roll,middle,L6,left,1783581907.13,1783581926.575
180,70.5882,70.5882,roll,middle,L6,left,1783581907.13,1783581929.59
165,64.7059,64.7059,roll,middle,L6,left,1783581907.13,1783581932.605
150,58.8235,58.8235,roll,middle,L6,left,1783581907.13,1783581935.621
135,52.9412,52.9412,roll,middle,L6,left,1783581907.13,1783581938.637
120,47.0588,47.0588,roll,middle,L6,left,1783581907.13,1783581941.649
105,41.1765,41.1765,roll,middle,L6,left,1783581907.13,1783581944.668
90,35.2941,35.2941,roll,middle,L6,left,1783581907.13,1783581947.68
75,29.4118,29.4118,roll,middle,L6,left,1783581907.13,1783581950.7
60,23.5294,23.5294,roll,middle,L6,left,1783581907.13,1783581953.707
45,17.6471,17.6471,roll,middle,L6,left,1783581907.13,1783581956.731
30,11.7647,11.7647,roll,middle,L6,left,1783581907.13,1783581959.745
15,5.8824,5.8824,roll,middle,L6,left,1783581907.13,1783581962.76
0,0.0,0.0,roll,middle,L6,left,1783581907.13,1783581965.776
