raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,pinky,L6,left,1783582989.12,1783582996.53
240,94.1176,94.1176,roll,pinky,L6,left,1783582989.12,1783582999.543
225,88.2353,88.2353,roll,pinky,L6,left,1783582989.12,1783583002.559
210,82.3529,82.3529,roll,pinky,L6,left,1783582989.12,1783583005.572
195,76.4706,76.4706,roll,pinky,L6,left,1783582989.12,1783583008.59
180,70.5882,70.5882,roll,pinky,L6,left,1783582989.12,1783583011.606
165,64.7059,64.7059,roll,pinky,L6,left,1783582989.12,1783583014.621
150,58.8235,58.8235,roll,pinky,L6,left,1783582989.12,1783583017.637
135,52.9412,52.9412,roll,pinky,L6,left,1783582989.12,1783583020.652
120,47.0588,47.0588,roll,pinky,L6,left,1783582989.12,1783583023.668
105,41.1765,41.1765,roll,pinky,L6,left,1783582989.12,1783583026.684
90,35.2941,35.2941,roll,pinky,L6,left,1783582989.12,1783583029.7
75,29.4118,29.4118,roll,pinky,L6,left,1783582989.12,1783583032.714
60,23.5294,23.5294,roll,pinky,L6,left,1783582989.12,1783583035.731
45,17.6471,17.6471,roll,pinky,L6,left,1783582989.12,1783583038.739
30,11.7647,11.7647,roll,pinky,L6,left,1783582989.12,1783583041.762
15,5.8824,5.8824,roll,pinky,L6,left,1783582989.12,1783583044.773
0,0.0,0.0,roll,pinky,L6,left,1783582989.12,1783583047.793
