motor_raw,angle_x
255,38.6984
240,35.5381
225,31.0949
210,25.9519
195,20.3824
180,14.9061
165,8.3666
150,2.6403
135,-2.8034
120,-8.4862
105,-14.4575
90,-19.9691
75,-25.7855
60,-31.6909
45,-37.2844
30,-42.5416
15,-47.4871
0,-51.9496
