motor_raw,angle_x
255,38.5079
240,33.2631
225,28.139
210,22.7663
195,17.3285
180,11.5904
165,5.685
150,-0.2734
135,-5.7076
120,-10.9596
105,-16.2894
90,-21.8072
75,-27.2957
60,-33.4843
45,-38.879
30,-43.9979
15,-49.1521
0,-53.1449
