motor_raw,angle_x
255,30.7587
240,26.6988
225,22.4271
210,17.8095
195,13.4992
180,9.1799
165,5.0454
150,0.994
135,-3.3417
120,-7.2785
105,-11.5398
90,-16.0913
75,-20.3639
60,-24.3202
45,-28.5341
30,-32.5161
15,-36.9198
0,-40.7651
