finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
2,食指 (index),0,-52.2213,-168.139,-115.9177
2,食指 (index),15,-47.4616,-159.4508,-111.9892
2,食指 (index),30,-42.3112,-150.3436,-108.0324
2,食指 (index),45,-36.7769,-140.6769,-103.9
2,食指 (index),60,-30.7309,-129.8401,-99.1092
2,食指 (index),75,-24.8863,-119.2194,-94.3331
2,食指 (index),90,-19.2555,-108.827,-89.5715
2,食指 (index),105,-13.8928,-98.792,-84.8992
2,食指 (index),120,-8.6261,-88.8157,-80.1896
2,食指 (index),135,-3.3765,-78.7426,-75.3662
2,食指 (index),150,2.4517,-67.3513,-69.803
2,食指 (index),165,8.2428,-55.918,-64.1608
2,食指 (index),180,13.8541,-44.6086,-58.4627
2,食指 (index),195,18.9467,-33.0947,-52.0414
2,食指 (index),210,23.2429,-22.7041,-45.947
2,食指 (index),225,27.8698,-12.6731,-40.543
2,食指 (index),240,33.0913,-2.2198,-35.3111
2,食指 (index),255,36.804,4.9029,-31.9011
