motor_raw,angle_x
255,6.3615
240,-3.263
225,-13.307
210,-23.2331
195,-33.6339
180,-44.8292
165,-56.4694
150,-68.3526
135,-79.0542
120,-88.9626
105,-98.9213
90,-109.23
75,-119.83
60,-130.7034
45,-141.097
30,-150.3137
15,-159.4481
0,-167.935
