motor_raw,angle_x
255,4.4228
240,-2.6893
225,-13.3367
210,-23.3473
195,-33.7147
180,-45.2711
165,-56.7024
150,-68.2054
135,-79.6823
120,-89.624
105,-99.4109
90,-109.3323
75,-119.7197
60,-130.3231
45,-141.1251
30,-150.7743
15,-159.8674
0,-168.5407
