finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
5,小指 (pinky),0,-52.1673,-167.5606,-115.3933
5,小指 (pinky),15,-47.4385,-159.005,-111.5665
5,小指 (pinky),30,-41.9764,-149.4969,-107.5205
5,小指 (pinky),45,-35.5253,-139.0037,-103.4784
5,小指 (pinky),60,-29.957,-129.1748,-99.2178
5,小指 (pinky),75,-24.5581,-119.0113,-94.4532
5,小指 (pinky),90,-19.2486,-109.0293,-89.7807
5,小指 (pinky),105,-14.0942,-99.4698,-85.3756
5,小指 (pinky),120,-8.6058,-89.1471,-80.5413
5,小指 (pinky),135,-2.407,-77.7607,-75.3537
5,小指 (pinky),150,4.0399,-66.4868,-70.5267
5,小指 (pinky),165,9.7277,-55.3412,-65.0689
5,小指 (pinky),180,15.4568,-44.1881,-59.6449
5,小指 (pinky),195,21.1606,-33.6329,-54.7935
5,小指 (pinky),210,26.443,-23.063,-49.506
5,小指 (pinky),225,31.636,-11.7677,-43.4037
5,小指 (pinky),240,37.1369,-0.1883,-37.3251
5,小指 (pinky),255,39.9837,5.4193,-34.5644
