motor_raw,angle_x
255,21.505
240,15.8493
225,10.0227
210,4.0504
195,-2.0472
180,-8.0866
165,-13.8605
150,-19.6407
135,-25.6683
120,-31.8276
105,-37.7433
90,-42.8872
75,-47.8262
60,-53.1254
45,-60.2995
30,-66.0346
15,-70.8558
0,-76.0425
