motor_raw,angle_x
255,19.8543
240,13.8227
225,7.7571
210,1.8931
195,-4.3559
180,-10.5992
165,-16.5766
150,-22.5787
135,-28.7252
120,-34.943
105,-41.0165
90,-46.9033
75,-52.6956
60,-58.4151
45,-64.4463
30,-69.8084
15,-74.825
0,-79.6639
