motor_raw,angle_x
255,5.0384
240,-0.54
225,-12.1122
210,-23.3808
195,-33.917
180,-44.5408
165,-55.6782
150,-66.8454
135,-78.1205
120,-89.4897
105,-99.8024
90,-109.3737
75,-119.3723
60,-129.5352
45,-139.3782
30,-149.8391
15,-159.3502
0,-167.9234
