raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,middle,L6,left,1783504992.113,1783504999.528
240,94.1176,94.1176,roll,middle,L6,left,1783504992.113,1783505002.544
225,88.2353,88.2353,roll,middle,L6,left,1783504992.113,1783505005.559
210,82.3529,82.3529,roll,middle,L6,left,1783504992.113,1783505008.573
195,76.4706,76.4706,roll,middle,L6,left,1783504992.113,1783505011.591
180,70.5882,70.5882,roll,middle,L6,left,1783504992.113,1783505014.606
165,64.7059,64.7059,roll,middle,L6,left,1783504992.113,1783505017.621
150,58.8235,58.8235,roll,middle,L6,left,1783504992.113,1783505020.636
135,52.9412,52.9412,roll,middle,L6,left,1783504992.113,1783505023.651
120,47.0588,47.0588,roll,middle,L6,left,1783504992.113,1783505026.661
105,41.1765,41.1765,roll,middle,L6,left,1783504992.113,1783505029.683
90,35.2941,35.2941,roll,middle,L6,left,1783504992.113,1783505032.693
75,29.4118,29.4118,roll,middle,L6,left,1783504992.113,1783505035.715
60,23.5294,23.5294,roll,middle,L6,left,1783504992.113,1783505038.729
45,17.6471,17.6471,roll,middle,L6,left,1783504992.113,1783505041.747
30,11.7647,11.7647,roll,middle,L6,left,1783504992.113,1783505044.76
15,5.8824,5.8824,roll,middle,L6,left,1783504992.113,1783505047.777
0,0.0,0.0,roll,middle,L6,left,1783504992.113,1783505050.793
