raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,index,L6,left,1783503884.533,1783503892.291
240,94.1176,94.1176,roll,index,L6,left,1783503884.533,1783503895.31
225,88.2353,88.2353,roll,index,L6,left,1783503884.533,1783503898.325
210,82.3529,82.3529,roll,index,L6,left,1783503884.533,1783503901.331
195,76.4706,76.4706,roll,index,L6,left,1783503884.533,1783503904.356
180,70.5882,70.5882,roll,index,L6,left,1783503884.533,1783503907.37
165,64.7059,64.7059,roll,index,L6,left,1783503884.533,1783503910.385
150,58.8235,58.8235,roll,index,L6,left,1783503884.533,1783503913.403
135,52.9412,52.9412,roll,index,L6,left,1783503884.533,1783503916.418
120,47.0588,47.0588,roll,index,L6,left,1783503884.533,1783503919.434
105,41.1765,41.1765,roll,index,L6,left,1783503884.533,1783503922.445
90,35.2941,35.2941,roll,index,L6,left,1783503884.533,1783503925.464
75,29.4118,29.4118,roll,index,L6,left,1783503884.533,1783503928.479
60,23.5294,23.5294,roll,index,L6,left,1783503884.533,1783503931.495
45,17.6471,17.6471,roll,index,L6,left,1783503884.533,1783503934.505
30,11.7647,11.7647,roll,index,L6,left,1783503884.533,1783503937.519
15,5.8824,5.8824,roll,index,L6,left,1783503884.533,1783503940.541
0,0.0,0.0,roll,index,L6,left,1783503884.533,1783503943.559
