motor_raw,angle_x
255,7.0246
240,-1.8465
225,-11.9636
210,-21.8705
195,-32.0633
180,-42.9308
165,-55.0043
150,-66.7772
135,-77.5704
120,-87.8711
105,-97.712
90,-107.6615
75,-118.3074
60,-129.2416
45,-139.3656
30,-148.7476
15,-157.3991
0,-166.1784
