raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,middle,L6,left,1783582168.259,1783582175.669
240,94.1176,94.1176,roll,middle,L6,left,1783582168.259,1783582178.678
225,88.2353,88.2353,roll,middle,L6,left,1783582168.259,1783582181.696
210,82.3529,82.3529,roll,middle,L6,left,1783582168.259,1783582184.715
195,76.4706,76.4706,roll,middle,L6,left,1783582168.259,1783582187.731
180,70.5882,70.5882,roll,middle,L6,left,1783582168.259,1783582190.746
165,64.7059,64.7059,roll,middle,L6,left,1783582168.259,1783582193.76
150,58.8235,58.8235,roll,middle,L6,left,1783582168.259,1783582196.778
135,52.9412,52.9412,roll,middle,L6,left,1783582168.259,1783582199.793
120,47.0588,47.0588,roll,middle,L6,left,1783582168.259,1783582202.809
105,41.1765,41.1765,roll,middle,L6,left,1783582168.259,1783582205.824
90,35.2941,35.2941,roll,middle,L6,left,1783582168.259,1783582208.84
75,29.4118,29.4118,roll,middle,L6,left,1783582168.259,1783582211.856
60,23.5294,23.5294,roll,middle,L6,left,1783582168.259,1783582214.868
45,17.6471,17.6471,roll,middle,L6,left,1783582168.259,1783582217.883
30,11.7647,11.7647,roll,middle,L6,left,1783582168.259,1783582220.899
15,5.8824,5.8824,roll,middle,L6,left,1783582168.259,1783582223.916
0,0.0,0.0,roll,middle,L6,left,1783582168.259,1783582226.931
